ts,pts_J1,pts_J2,pts_J3,pts_J4,pts_J5,pts_J6,vel_J1,vel_J2,vel_J3,vel_J4,vel_J5,vel_J6,acc_J1,acc_J2,acc_J3,acc_J4,acc_J5,acc_J6,jerk_J1,jerk_J2,jerk_J3,jerk_J4,jerk_J5,jerk_J6,do_port,do_state
1.000026322,0.239930347,0.406208198,-0.46043415,1.530000445,-1.643626699,-2.030277262,-0.215023333,-0.320387929,-0.118814764,-0.040569489,0.360333586,0.035190026,3.966353688,0.524709306,-1.716016973,11.30693819,-18.17874865,-17.60187551,54.05022084,43.20265754,-17.12013552,196.5441323,-291.7369466,-279.8064374,-1,0
1.100028954,0.236358656,0.376074719,-0.478811099,1.568870274,-1.681020832,-2.095455342,0.074329412,-0.325907642,-0.205116041,0.468291866,-0.629107429,-0.841814099,0.661378088,-1.476378556,0.514764004,-6.056503366,5.412703308,7.069446049,-46.42097358,-29.71515153,28.36062004,-230.46265,316.917326,327.5422708,-1,0
1.200031587,0.241631021,0.334402339,-0.493642453,1.563502079,-1.685069536,-2.111921704,0.003544465,-0.485632041,-0.079787586,-0.597736309,0.615003598,0.570706649,-1.319085216,-0.631121716,1.450615422,-9.753360696,12.44721645,13.75729194,-9.20727335,23.64913745,1.792780259,40.07155648,-27.82817801,-36.90546175,-1,0
1.300034219,0.234184142,0.286149209,-0.494229641,1.461555331,-1.56640405,-1.992542443,-0.154231223,-0.459593434,0.064402786,-1.377708022,1.693787009,1.741601228,-1.415283195,0.544591119,1.227757344,-5.949458243,8.567971699,9.235481825,7.642890989,-0.653491211,-6.425313374,35.91785387,-50.23486877,-53.89325463,-1,0
1.400036851,0.212957707,0.242802833,-0.482721024,1.30001867,-1.362551696,-1.781180578,-0.257547807,-0.40840043,0.15505434,-1.79307551,2.299425777,2.395700354,-0.650994096,0.479241998,0.585226006,-2.357672856,3.544484822,3.846156361,7.642890989,-0.653491211,-6.425313374,35.91785387,-50.23486877,-53.89325463,-1,0
1.500039483,0.185220989,0.204249131,-0.46535984,1.114904038,-1.123252628,-1.531355124,-0.284433469,-0.363742511,0.181451068,-1.849255005,2.402702634,2.510852748,0.113295003,0.413892877,-0.057305331,1.234112531,-1.479002055,-1.543169102,7.642890989,-0.653491211,-6.425313374,35.91785387,-50.23486877,-53.89325463,-1,0
1.600042115,0.157862321,0.169878758,-0.44793636,0.938535191,-0.893731552,-1.291583442,-0.261897247,-0.324038984,0.166323976,-1.674894704,2.18295302,2.279484986,0.233410358,0.386243728,-0.157695323,1.757599376,-2.225284271,-2.343062346,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
1.700044748,0.132832489,0.139371342,-0.432085379,0.779717593,-0.686428706,-1.075205221,-0.238751506,-0.286433129,0.150753907,-1.502495403,1.964282778,2.049362001,0.229492276,0.365853579,-0.153697865,1.690295895,-2.14800545,-2.25927621,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
1.80004738,0.110097702,0.112522654,-0.417771459,0.637803844,-0.500607045,-0.881420952,-0.215997584,-0.250866343,0.135583594,-1.336826627,1.753340622,1.82761785,0.225574193,0.34546343,-0.149700406,1.622992415,-2.070726629,-2.175490075,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
1.900050012,0.089618775,0.089128782,-0.404954621,0.512120874,-0.335493741,-0.709392728,-0.19363548,-0.217338625,0.120813038,-1.177888376,1.550126551,1.614252533,0.221656111,0.32507328,-0.145702948,1.555688935,-1.993447808,-2.091703939,-0.039180822,-0.203901492,0.039974585,-0.673034804,0.772788213,0.837861358,-1,0
